 pmccullo / Coursera-Capstone-ShinyApp
Code  Issues 0  Pull requests 0  Projects 0  Wiki  Pulse  Community
full_twitter_lookup.csv
￼
"","ngram","freq","length","less1gram","less1gram_freq","hit_rate","suggest"
"4737","thats what i",7,"3","thats what",32,0.21875,"i"
"1192","fan of",19,"2","fan",87,0.218390804597701,"of"
"4108","day to all",12,"3","day to",55,0.218181818181818,"all"
"2712","loving the",10,"2","loving",46,0.217391304347826,"the"
"780","congrats to",26,"2","congrats",120,0.216666666666667,"to"
"4070","looks like a",13,"3","looks like",60,0.216666666666667,"a"
"3701","turned out",8,"2","turned",37,0.216216216216216,"out"
"4456","how do i",8,"3","how do",37,0.216216216216216,"i"
"1843","reason to",14,"2","reason",65,0.215384615384615,"to"
"2","in the",861,"2","in",4007,0.214873970551535,"the"
"93","would be",119,"2","would",554,0.214801444043321,"be"
"646","excited for",30,"2","excited",140,0.214285714285714,"for"
"4897","have any questions",6,"3","have any",28,0.214285714285714,"questions"
"5121","we all have",6,"3","we all",28,0.214285714285714,"have"
"5291","if you dont like",6,"4","if you dont",28,0.214285714285714,"like"
"390","give me",44,"2","give",206,0.213592233009709,"me"
"4041","back in the",13,"3","back in",61,0.213114754098361,"the"
"5213","one of the best",10,"4","one of the",47,0.212765957446809,"best"
"4633","i agree with",7,"3","i agree",33,0.212121212121212,"with"
"4746","the people who",7,"3","the people",33,0.212121212121212,"who"
"4751","thinking about it",7,"3","thinking about",33,0.212121212121212,"it"
"4779","when he was",7,"3","when he",33,0.212121212121212,"was"
"511","hard to",36,"2","hard",170,0.211764705882353,"to"
"3855","did you know",24,"3","did you",114,0.210526315789474,"know"
"3481","kick ass",8,"2","kick",38,0.210526315789474,"ass"
"4433","been a long",8,"3","been a",38,0.210526315789474,"long"
"4553","why i love",8,"3","why i",38,0.210526315789474,"love"
"3809","i cant wait",37,"3","i cant",176,0.210227272727273,"wait"
"3082","moving to",9,"2","moving",43,0.209302325581395,"to"
"3962","dont know what",15,"3","dont know",72,0.208333333333333,"what"
"2627","finished the",10,"2","finished",48,0.208333333333333,"the"
"5329","getting ready to head",5,"4","getting ready to",24,0.208333333333333,"head"
"5344","i need a nap",5,"4","i need a",24,0.208333333333333,"nap"
"5356","if you have a",5,"4","if you have",24,0.208333333333333,"a"
"362","call me",47,"2","call",227,0.20704845814978,"me"
"2234","sent you",12,"2","sent",58,0.206896551724138,"you"
"4850","come back to",6,"3","come back",29,0.206896551724138,"to"
"5096","to tell you",6,"3","to tell",29,0.206896551724138,"you"
"1845","shes a",14,"2","shes",68,0.205882352941176,"a"
"3622","swear i",8,"2","swear",39,0.205128205128205,"i"
"4421","a whole lot",8,"3","a whole",39,0.205128205128205,"lot"
"5235","i wish i was",8,"4","i wish i",39,0.205128205128205,"was"
